document_text,category
"Procedure for receiving a patient in the emergency department","Emergency Protocol"
"Steps for responding to a patient who suddenly loses consciousness","Emergency Protocol"
"Procedure for activating the emergency response team","Emergency Protocol"
"Steps for handling a patient with severe chest pain","Emergency Protocol"
"Emergency procedure for a patient experiencing breathing difficulty","Emergency Protocol"
"Procedure for responding to a suspected stroke patient","Emergency Protocol"
"Steps for managing a patient with severe bleeding","Emergency Protocol"
"Emergency procedure for transferring a critical patient","Emergency Protocol"
"Steps for responding to a fire emergency inside the hospital","Emergency Protocol"
"Procedure for handling a patient during a medical emergency","Emergency Protocol"
"Steps for responding to a patient with a suspected allergic reaction","Emergency Protocol"
"Procedure for managing a patient who has collapsed in the hospital","Emergency Protocol"
"Emergency response procedure for a patient with a high fever","Emergency Protocol"
"Steps for contacting the emergency department during a critical incident","Emergency Protocol"
"Procedure for responding to an emergency in the outpatient department","Emergency Protocol"
"Steps for managing a patient with sudden severe abdominal pain","Emergency Protocol"
"Emergency procedure for receiving a critically injured patient","Emergency Protocol"
"Steps for responding to a patient with suspected poisoning","Emergency Protocol"
"Procedure for handling an emergency during patient admission","Emergency Protocol"
"Steps for coordinating emergency care between hospital departments","Emergency Protocol"
"Procedure for cleaning and disinfecting hospital equipment","Hospital SOP"
"Standard procedure for registering a new patient","Hospital SOP"
"Steps for collecting and labelling patient samples","Hospital SOP"
"Procedure for preparing a hospital bed for a new patient","Hospital SOP"
"Standard procedure for recording patient vital signs","Hospital SOP"
"Steps for maintaining cleanliness in patient rooms","Hospital SOP"
"Procedure for disposing of used medical gloves","Hospital SOP"
"Standard procedure for documenting patient discharge","Hospital SOP"
"Steps for checking medical supplies before use","Hospital SOP"
"Procedure for transferring patient records between departments","Hospital SOP"
"Standard procedure for preparing a patient for examination","Hospital SOP"
"Steps for documenting a patient's admission details","Hospital SOP"
"Procedure for cleaning a patient examination room","Hospital SOP"
"Standard procedure for verifying patient identification","Hospital SOP"
"Steps for recording medication administration details","Hospital SOP"
"Procedure for preparing medical instruments for use","Hospital SOP"
"Standard procedure for updating patient records","Hospital SOP"
"Steps for receiving laboratory samples from a department","Hospital SOP"
"Procedure for preparing a patient for discharge","Hospital SOP"
"Standard procedure for checking hospital supplies","Hospital SOP"
"Guidelines for the cardiology department","Department Guideline"
"Guidelines for the hospital laboratory department","Department Guideline"
"Instructions for the radiology department staff","Department Guideline"
"Guidelines for the intensive care unit","Department Guideline"
"Department guidelines for the outpatient clinic","Department Guideline"
"Instructions for the operation theatre department","Department Guideline"
"Guidelines for the hospital pharmacy department","Department Guideline"
"Department guidelines for the physiotherapy unit","Department Guideline"
"Instructions for the nursing department","Department Guideline"
"Guidelines for the hospital blood bank","Department Guideline"
"Guidelines for the pediatric department","Department Guideline"
"Instructions for the hospital microbiology department","Department Guideline"
"Guidelines for the hospital medical records department","Department Guideline"
"Instructions for the hospital housekeeping department","Department Guideline"
"Guidelines for the hospital radiotherapy department","Department Guideline"
"Instructions for the hospital reception department","Department Guideline"
"Guidelines for the hospital dietary department","Department Guideline"
"Instructions for the hospital infection control department","Department Guideline"
"Guidelines for the hospital physiotherapy department","Department Guideline"
"Instructions for the hospital maintenance department","Department Guideline"
"Instructions for operating the ECG machine","Equipment Manual"
"User manual for the hospital ventilator","Equipment Manual"
"Instructions for using the patient monitoring system","Equipment Manual"
"Operating procedure for the X-ray machine","Equipment Manual"
"Manual for maintaining the hospital autoclave","Equipment Manual"
"Instructions for using the infusion pump","Equipment Manual"
"User guide for the laboratory centrifuge","Equipment Manual"
"Operating instructions for the defibrillator","Equipment Manual"
"Manual for using the blood pressure monitor","Equipment Manual"
"Instructions for maintaining the hospital oxygen concentrator","Equipment Manual"
"User manual for the hospital suction machine","Equipment Manual"
"Instructions for operating the ultrasound machine","Equipment Manual"
"Manual for using the hospital sterilizer","Equipment Manual"
"Operating instructions for the patient weighing scale","Equipment Manual"
"User guide for the hospital refrigerator","Equipment Manual"
"Instructions for using the pulse oximeter","Equipment Manual"
"Manual for operating the laboratory microscope","Equipment Manual"
"Instructions for maintaining the hospital air conditioner","Equipment Manual"
"Operating manual for the medical examination table","Equipment Manual"
"User guide for the hospital blood glucose meter","Equipment Manual"
"Rules regarding hospital staff attendance and leave","Hospital Policy"
"Hospital policy for protecting patient privacy","Hospital Policy"
"Rules for maintaining confidentiality of medical records","Hospital Policy"
"Hospital policy regarding staff workplace safety","Hospital Policy"
"Rules for preventing unauthorized access to hospital areas","Hospital Policy"
"Hospital policy for reporting workplace incidents","Hospital Policy"
"Rules regarding the use of hospital identification cards","Hospital Policy"
"Hospital policy for handling patient complaints","Hospital Policy"
"Rules for maintaining professional behaviour among staff","Hospital Policy"
"Hospital policy regarding the use of hospital resources","Hospital Policy"
"Rules for protecting hospital information systems","Hospital Policy"
"Hospital policy for staff training and development","Hospital Policy"
"Rules regarding visitor access to hospital departments","Hospital Policy"
"Hospital policy for maintaining a safe working environment","Hospital Policy"
"Rules for reporting lost hospital property","Hospital Policy"
"Hospital policy regarding staff communication","Hospital Policy"
"Rules for maintaining cleanliness in common hospital areas","Hospital Policy"
"Hospital policy for managing hospital records","Hospital Policy"
"Rules regarding the use of hospital vehicles","Hospital Policy"
"Hospital policy for reporting safety concerns","Hospital Policy"
